input_sd,output_sd
سپريم ڪورٽ ڪهڙي بنياد تي تنسيخ نڪاح کي درست قرار ڏنو آهي؟,سپريم ڪورٽ مڙس ۽ سسرال جي ظلم ۽ نازيبا سلوڪ جي بنياد تي تنسيخ نڪاح کي جائز قرار ڏنو آهي۔
ڪهڙي عدالت تنسيخ نڪاح بابت فيصلو ڪيو آهي؟,"سپريم ڪورٽ جي ٽن رڪني بينچ، جنهن جي سربراهي جسٽس سردار طارق مسعود ڪئي، تنسيخ نڪاح بابت فيصلو ڪيو آهي۔"
ڪنهن لکيو آهي ته زال ظلم جي بنياد تي تنسيخ نڪاح جو دعويٰ داخل ڪري سگهي ٿي؟,"هي فيصلو جسٽس محمد علي مظهر لکيو آهي، جنهن ۾ چيو ويو آهي ته جيڪڏهن زال مٿان سسرال ۾ ظلم ٿئي ته هوءَ تنسيخ نڪاح جي دعويٰ داخل ڪري سگهي ٿي۔"
عدالت ڪهڙي فيصلي کي ڪالعدم قرار ڏنو آهي؟,"عدالت، اپيليٽ ڪورٽ ۽ پشاور هاءِ ڪورٽ جي فيصلي کي ڪالعدم قرار ڏئي فيملي ڪورٽ جي فيصلي کي بحال ڪيو آهي۔"
ڪهڙي شيءِ جو دارومدار ازدواجي رشتي تي هوندو آهي؟,"فيصلي ۾ چيو ويو آهي ته مرد ۽ عورت جو ازدواجي رشتو پاڪيزه آهي، جيڪو خاندان، نسب ۽ وراثت تي دارومدار رکي ٿو۔"
ازدواجي رشتي جي بنياد تي ڪهڙيون خاصيتون ضروري آهن؟,"فيصلي ۾ چيو ويو آهي ته ازدواجي رشتو نرمي، ڀروسو، عزت، محبت ۽ همدردي تي ٻڌل هجڻ گهرجي، جيئن اسلام جي هدايتن ۾ آهي۔"
تنسيخ نڪاح لاءِ ڪهڙا قانون لاڳو ٿين ٿا؟,ملڪ ۾ تنسيخ نڪاح لاءِ مختلف قانون ۽ ضابطا لاڳو ٿين ٿا۔
تنسيخ نڪاح جي درخواست ڪنهن ڏانهن ڏني ويندي آهي؟,اميدوار اڪثر ڪري سپريم ڪورٽ يا لاڳاپيل قانوني اداري کي درخواست ڏين ٿا۔
تنسيخ جي ٻڌڻي ڇو ڪئي ويندي آهي؟,عدالت يا قانوني ادارو تنسيخ جي درخواست تي فيصلو ڪرڻ لاءِ ٻڌڻي ڪندو آهي۔
فيصلي کان پوءِ ڇا ڪيو ويندو آهي؟,"فيصلي کان پوءِ، عدالت يا قانوني ادارو فيصلو ڪري ٿو ته نڪاح کي ختم ڪيو وڃي يا نه، ۽ جيڪڏهن ختم ڪيو وڃي ته ان سان گڏ تصديقون به جاري ڪيون وڃن ٿيون۔"
تنسيخ نڪاح جا قانوني طريقا مختلف ملڪن جي قانونن جي لحاظ سان مختلف ٿي سگهن ٿا؟,تنسيخ نڪاح جا قانوني طريقا هر ملڪ جي قانون مطابق مختلف ٿي سگهن ٿا۔
ڇا تنسيخ نڪاح جي درخواست ڪنهن به پارٽي طرفان ڏئي سگهجي ٿي؟,تنسيخ نڪاح هڪ قانوني عمل آهي جنهن جي ذريعي ڪنهن به پارٽي طرفان درخواست ڏئي سگهجي ٿي جيڪڏهن هو ثابت ڪري ته شادي غير قانوني يا ناقابل عمل هئي۔
ڇا تنسيخ نڪاح لاءِ ڪنهن شادي کي غير مؤثر ۽ ناقابل عمل قرار ڏئي سگهجي ٿو؟,تنسيخ نڪاح هڪ قانوني عمل آهي جنهن ذريعي ڪنهن شادي کي غير مؤثر يا ناقابل عمل قرار ڏئي سگهجي ٿو۔
ڇا تنسيخ نڪاح جي درخواست مخصوص سببن جي بنياد تي ڏئي سگهجي ٿي؟,"درخواست ۾ عام طور تي تنسيخ جا سبب، نڪاح نامي جي تصديق، ٻين معاملن متعلق تفصيلات شامل ھونديون آهن۔"
تنسيخ نڪاح جي تصديقون ڪنهن سان گڏ ملن ٿيون؟,جيڪڏهن نڪاح جي تنسيخ ٿئي ٿي ته فيصلي سان گڏ تنسيخ نڪاح جون تصديقون پڻ جاري ڪيون وڃن ٿيون۔
تنسيخ نڪاح جا قانون ڄاڻڻ لاءِ ڪنهن سان رجوع ڪرڻ گهرجي؟,اوهان کي گهرجي ته اوهان جي ملڪ يا علائقي جي قانون جي ڄاڻ لاءِ مقامي حڪومت يا قانوني مشير سان رابطو ڪريو۔
تنسيخ نڪاح جي عمل کي ڇا سڏيو وڃي ٿو؟,تنسيخ نڪاح هڪ قانوني عمل آهي جنهن ذريعي ڪنهن شادي کي غير مؤثر يا ناقابل عمل قرار ڏئي سگهجي ٿو۔
تنسيخ نڪاح جا سبب ڪهڙا آهن؟,"تنسيخ نڪاح جا سبب: زبردستي جي شادي، اهليت جي کوٽ، فرار، جبر، دوکو، زنا، ذهني بيماري، جسماني نقصان، جنسي استحصال وغيره۔"
تنسيخ نڪاح جو عمل ڪهڙو ٿي سگهي ٿو؟,"تنسيخ نڪاح جو عمل پيچيده ۽ مھانگو ٿي سگهي ٿو، ۽ درخواست ڏيڻ کان اڳ قانوني ماهر سان صلاح ڪرڻ ضروري آهي۔"
تنسيخ نڪاح جا نتيجا ڇا ٿي سگهن ٿا؟,"تنسيخ نڪاح جا نتيجا هي ٿي سگهن ٿا: شادي ختم ٿي وڃي ٿي، ڌرين کي ٻيهر شادي ڪرڻ جو حق ملي ٿو، ڌرين کي پنهنجي ملڪيت جو مالڪ ٿيڻ جو حق ملي ٿو، ٻارن جي سنڀال ۽ مالي سهائتا جو حق ملي سگهي ٿو."
زڪوات ۽ عشر آرڊيننس ڇا آهي؟,زڪوات ۽ عشر آرڊيننس 1980 هڪ قانون آهي جيڪو زڪوات ۽ عشر جي ادائيگي جي ضابطن جي وضاحت ڪري ٿو.
زڪوات ڇا آهي ۽ ڪير ادا ڪرڻ ضروري آهي؟,"زڪوات هڪ اسلامي فرض آهي، جيڪو هر مسلمان تي لازمي آهي ته هو پنهنجي ڪل آمدني جو 2.5٪ ڏئي."
عشر ڇا آهي ۽ ڪير ادا ڪرڻ ضروري آهي؟,"عشر هڪ اسلامي فرض آهي، جنھن مطابق هر مسلمان کي پنهنجي زمين جي پيداوار جو 10٪ ادا ڪرڻ ضروري آهي."
زڪوات ۽ عشر آرڊيننس جي ضرورت ڇا آهي؟,"زڪوات ۽ عشر آرڊيننس اهل ماڻهن جي قسمن جي سڃاڻپ ڪري ٿو، ادائيگي جا طريقا بيان ڪري ٿو، ۽ انهن لاءِ سزائون به ٻڌائي ٿو جيڪي ادائيگي نه ڪن."
زڪوات ۽ عشر ادا ڪرڻ جو مقصد ڇا آهي؟,"زڪوات ۽ عشر جو مقصد غربت ۽ ناانصافي گهٽائڻ، مستحق ماڻهن کي مالي مدد ڏيڻ ۽ اسلامي فرض پورو ڪرڻ آهي."
