Char	Frequency	Unicode Name
 	4986915	SPACE
ي	2513322	ARABIC LETTER YEH
ا	2087406	ARABIC LETTER ALEF
ن	1621521	ARABIC LETTER NOON
و	1465419	ARABIC LETTER WAW
ر	1133848	ARABIC LETTER REH
ه	772717	ARABIC LETTER HEH
م	752316	ARABIC LETTER MEEM
ج	697108	ARABIC LETTER JEEM
ل	679677	ARABIC LETTER LAM
س	604214	ARABIC LETTER SEEN
ڪ	576228	ARABIC LETTER SWASH KAF
ت	552252	ARABIC LETTER TEH
د	471753	ARABIC LETTER DAL
ب	384539	ARABIC LETTER BEH
پ	283747	ARABIC LETTER PEH
ئ	266239	ARABIC LETTER YEH WITH HAMZA ABOVE
.	255933	FULL STOP
آ	239894	ARABIC LETTER ALEF WITH MADDA ABOVE
ع	238197	ARABIC LETTER AIN
،	228135	ARABIC COMMA
ھ	215560	ARABIC LETTER HEH DOACHASHMEE
ک	197282	ARABIC LETTER KEHEH
ش	194554	ARABIC LETTER SHEEN

	192462	UNKNOWN
۾	187044	ARABIC SIGN SINDHI POSTPOSITION MEN
ٽ	181369	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
ق	174401	ARABIC LETTER QAF
گ	171375	ARABIC LETTER GAF
ڻ	161108	ARABIC LETTER RNOON
ف	160629	ARABIC LETTER FEH
ح	152055	ARABIC LETTER HAH
۽	141239	ARABIC SIGN SINDHI AMPERSAND
ز	136432	ARABIC LETTER ZAIN
ٿ	130115	ARABIC LETTER TEHEH
ء	118716	ARABIC LETTER HAMZA
ڏ	111072	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
خ	108057	ARABIC LETTER KHAH
چ	104691	ARABIC LETTER TCHEH
ص	100312	ARABIC LETTER SAD
ڊ	95792	ARABIC LETTER DAL WITH DOT BELOW
ڙ	84547	ARABIC LETTER REH WITH FOUR DOTS ABOVE
ڌ	77073	ARABIC LETTER DAHAL
ط	71410	ARABIC LETTER TAH
ٻ	61078	ARABIC LETTER BEEH
ڳ	58906	ARABIC LETTER GUEH
ٺ	42598	ARABIC LETTER TTEHEH
ڀ	42283	ARABIC LETTER BEHEH
ض	36938	ARABIC LETTER DAD
ظ	34079	ARABIC LETTER ZAH
ڇ	30380	ARABIC LETTER TCHEHEH
غ	30223	ARABIC LETTER GHAIN
ہ	28480	ARABIC LETTER HEH GOAL
ذ	24870	ARABIC LETTER THAL
ث	24583	ARABIC LETTER THEH
ڄ	20444	ARABIC LETTER DYEH
ڃ	17479	ARABIC LETTER NYEH
ڍ	16820	ARABIC LETTER DDAHAL
؛	13569	ARABIC SEMICOLON
۔	9151	ARABIC FULL STOP
ـ	7559	ARABIC TATWEEL
ڦ	6753	ARABIC LETTER PEHEH
ٰ	5096	ARABIC LETTER SUPERSCRIPT ALEF
ڱ	4545	ARABIC LETTER NGOEH
ؤ	4288	ARABIC LETTER WAW WITH HAMZA ABOVE
!	4145	EXCLAMATION MARK
؟	2465	ARABIC QUESTION MARK
ة	2303	ARABIC LETTER TEH MARBUTA
ں	1610	ARABIC LETTER NOON GHUNNA
ٹ	1078	ARABIC LETTER TTEH
ك	906	ARABIC LETTER KAF
أ	703	ARABIC LETTER ALEF WITH HAMZA ABOVE
ڈ	529	ARABIC LETTER DDAL
ۡ	461	ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
إ	255	ARABIC LETTER ALEF WITH HAMZA BELOW
ڑ	237	ARABIC LETTER RREH
٪	228	ARABIC PERCENT SIGN
٬	147	ARABIC THOUSANDS SEPARATOR
ژ	146	ARABIC LETTER JEH
ۃ	139	ARABIC LETTER TEH MARBUTA GOAL
ۂ	83	ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
ٱ	53	ARABIC LETTER ALEF WASLA
ٔ	49	ARABIC HAMZA ABOVE
ٖ	48	ARABIC SUBSCRIPT ALEF
ؑ	42	ARABIC SIGN ALAYHE ASSALLAM
ٗ	27	ARABIC INVERTED DAMMA
﴿	26	ORNATE RIGHT PARENTHESIS
﴾	26	ORNATE LEFT PARENTHESIS
ؕ	23	ARABIC SMALL HIGH TAH
ؒ	23	ARABIC SIGN RAHMATULLAH ALAYHE
ە	21	ARABIC LETTER AE
ۤ	21	ARABIC SMALL HIGH MADDA
٫	20	ARABIC DECIMAL SEPARATOR
ٴ	19	ARABIC LETTER HIGH HAMZA
ۚ	16	ARABIC SMALL HIGH JEEM
ۙ	13	ARABIC SMALL HIGH LAM ALEF
٭	12	ARABIC FIVE POINTED STAR
﷢	12	UNKNOWN
﷦	9	UNKNOWN
ٓ	8	ARABIC MADDAH ABOVE
ڕ	6	ARABIC LETTER REH WITH SMALL V BELOW
ټ	5	ARABIC LETTER TEH WITH RING
ښ	5	ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
﷥	5	UNKNOWN
ݣ	4	ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
ۢ	4	ARABIC SMALL HIGH MEEM ISOLATED FORM
ٚ	4	ARABIC VOWEL SIGN SMALL V ABOVE
ؓ	4	ARABIC SIGN RADI ALLAHOU ANHU
ډ	4	ARABIC LETTER DAL WITH RING
ړ	4	ARABIC LETTER REH WITH RING
ۜ	3	ARABIC SMALL HIGH SEEN
ݔ	3	ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE
ؐ	3	ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
څ	3	ARABIC LETTER HAH WITH THREE DOTS ABOVE
ګ	3	ARABIC LETTER KAF WITH RING
ۖ	3	ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA
ٕ	2	ARABIC HAMZA BELOW
۬	2	ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
ۏ	2	ARABIC LETTER WAW WITH DOT ABOVE
؁	2	ARABIC SIGN SANAH
ځ	2	ARABIC LETTER HAH WITH HAMZA ABOVE
ڲ	2	ARABIC LETTER GAF WITH TWO DOTS BELOW
ۆ	2	ARABIC LETTER OE
ڵ	2	ARABIC LETTER LAM WITH SMALL V
؎	2	ARABIC POETIC VERSE SIGN
ڎ	2	ARABIC LETTER DUL
ݯ	2	ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
ۗ	2	ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
ۅ	2	ARABIC LETTER KIRGHIZ OE
ٮ	1	ARABIC LETTER DOTLESS BEH
ۮ	1	ARABIC LETTER DAL WITH INVERTED V
ۯ	1	ARABIC LETTER REH WITH INVERTED V
ۿ	1	ARABIC LETTER HEH WITH INVERTED V
ً	1	ARABIC FATHATAN
ݨ	1	ARABIC LETTER NOON WITH SMALL TAH
۠	1	ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO
۫	1	ARABIC EMPTY CENTRE HIGH STOP
ږ	1	ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE
؋	1	AFGHANI SIGN
ۄ	1	ARABIC LETTER WAW WITH RING
ۉ	1	ARABIC LETTER KIRGHIZ YU
ۇ	1	ARABIC LETTER U
ڭ	1	ARABIC LETTER NG
ٳ	1	ARABIC LETTER ALEF WITH WAVY HAMZA BELOW
ٟ	1	ARABIC WAVY HAMZA BELOW
ٜ	1	ARABIC VOWEL SIGN DOT BELOW
