Char	Frequency	Unicode Name
 	5105096	SPACE
ي	2501700	ARABIC LETTER YEH
ا	2077743	ARABIC LETTER ALEF
ن	1616011	ARABIC LETTER NOON
و	1460875	ARABIC LETTER WAW
ر	1128705	ARABIC LETTER REH
ه	768623	ARABIC LETTER HEH
م	749089	ARABIC LETTER MEEM
ج	694083	ARABIC LETTER JEEM
ل	676550	ARABIC LETTER LAM
س	601453	ARABIC LETTER SEEN
ڪ	573174	ARABIC LETTER SWASH KAF
ت	548883	ARABIC LETTER TEH
د	469660	ARABIC LETTER DAL
ب	383361	ARABIC LETTER BEH
پ	282616	ARABIC LETTER PEH
ئ	265796	ARABIC LETTER YEH WITH HAMZA ABOVE
.	258079	FULL STOP
آ	238432	ARABIC LETTER ALEF WITH MADDA ABOVE
ع	237023	ARABIC LETTER AIN
،	227398	ARABIC COMMA
ھ	215580	ARABIC LETTER HEH DOACHASHMEE
ک	196436	ARABIC LETTER KEHEH
ش	193675	ARABIC LETTER SHEEN

	191147	UNKNOWN
۾	186485	ARABIC SIGN SINDHI POSTPOSITION MEN
ٽ	180674	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
ق	172926	ARABIC LETTER QAF
گ	170539	ARABIC LETTER GAF
ف	160331	ARABIC LETTER FEH
ڻ	160187	ARABIC LETTER RNOON
ح	151675	ARABIC LETTER HAH
۽	140704	ARABIC SIGN SINDHI AMPERSAND
ز	135809	ARABIC LETTER ZAIN
ٿ	128943	ARABIC LETTER TEHEH
ء	118237	ARABIC LETTER HAMZA
ڏ	110377	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
خ	107465	ARABIC LETTER KHAH
چ	104519	ARABIC LETTER TCHEH
ص	100290	ARABIC LETTER SAD
ڊ	95476	ARABIC LETTER DAL WITH DOT BELOW
ڙ	84184	ARABIC LETTER REH WITH FOUR DOTS ABOVE
ڌ	76917	ARABIC LETTER DAHAL
ط	70881	ARABIC LETTER TAH
ٻ	60902	ARABIC LETTER BEEH
ڳ	58660	ARABIC LETTER GUEH
ٺ	42430	ARABIC LETTER TTEHEH
ڀ	42215	ARABIC LETTER BEHEH
ض	36636	ARABIC LETTER DAD
ظ	33896	ARABIC LETTER ZAH
غ	30019	ARABIC LETTER GHAIN
ڇ	29745	ARABIC LETTER TCHEHEH
ہ	28470	ARABIC LETTER HEH GOAL
ذ	24718	ARABIC LETTER THAL
ث	24353	ARABIC LETTER THEH
ڄ	20419	ARABIC LETTER DYEH
ڃ	17273	ARABIC LETTER NYEH
ڍ	16813	ARABIC LETTER DDAHAL
؛	13570	ARABIC SEMICOLON
۔	9119	ARABIC FULL STOP
ـ	7559	ARABIC TATWEEL
ڦ	6751	ARABIC LETTER PEHEH
ٰ	5079	ARABIC LETTER SUPERSCRIPT ALEF
ڱ	4541	ARABIC LETTER NGOEH
ؤ	4286	ARABIC LETTER WAW WITH HAMZA ABOVE
!	4167	EXCLAMATION MARK
ة	2303	ARABIC LETTER TEH MARBUTA
ں	1610	ARABIC LETTER NOON GHUNNA
؟	1433	ARABIC QUESTION MARK
ٹ	1078	ARABIC LETTER TTEH
ك	906	ARABIC LETTER KAF
أ	703	ARABIC LETTER ALEF WITH HAMZA ABOVE
ڈ	529	ARABIC LETTER DDAL
ۡ	461	ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
إ	255	ARABIC LETTER ALEF WITH HAMZA BELOW
ڑ	237	ARABIC LETTER RREH
٪	220	ARABIC PERCENT SIGN
٬	147	ARABIC THOUSANDS SEPARATOR
ژ	146	ARABIC LETTER JEH
ۃ	139	ARABIC LETTER TEH MARBUTA GOAL
ۂ	83	ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
ٱ	53	ARABIC LETTER ALEF WASLA
ٔ	49	ARABIC HAMZA ABOVE
ٖ	48	ARABIC SUBSCRIPT ALEF
ؑ	42	ARABIC SIGN ALAYHE ASSALLAM
ٗ	27	ARABIC INVERTED DAMMA
﴿	26	ORNATE RIGHT PARENTHESIS
﴾	26	ORNATE LEFT PARENTHESIS
ؕ	23	ARABIC SMALL HIGH TAH
ؒ	23	ARABIC SIGN RAHMATULLAH ALAYHE
ە	21	ARABIC LETTER AE
ۤ	21	ARABIC SMALL HIGH MADDA
٫	20	ARABIC DECIMAL SEPARATOR
ٴ	19	ARABIC LETTER HIGH HAMZA
ۚ	16	ARABIC SMALL HIGH JEEM
ۙ	13	ARABIC SMALL HIGH LAM ALEF
٭	12	ARABIC FIVE POINTED STAR
﷢	12	UNKNOWN
﷦	9	UNKNOWN
ٓ	8	ARABIC MADDAH ABOVE
ڕ	6	ARABIC LETTER REH WITH SMALL V BELOW
ټ	5	ARABIC LETTER TEH WITH RING
ښ	5	ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
﷥	5	UNKNOWN
ݣ	4	ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
ۢ	4	ARABIC SMALL HIGH MEEM ISOLATED FORM
ٚ	4	ARABIC VOWEL SIGN SMALL V ABOVE
ؓ	4	ARABIC SIGN RADI ALLAHOU ANHU
ډ	4	ARABIC LETTER DAL WITH RING
ړ	4	ARABIC LETTER REH WITH RING
ۜ	3	ARABIC SMALL HIGH SEEN
ݔ	3	ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE
ؐ	3	ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
څ	3	ARABIC LETTER HAH WITH THREE DOTS ABOVE
ګ	3	ARABIC LETTER KAF WITH RING
ۖ	3	ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA
ٕ	2	ARABIC HAMZA BELOW
۬	2	ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
ۏ	2	ARABIC LETTER WAW WITH DOT ABOVE
؁	2	ARABIC SIGN SANAH
ځ	2	ARABIC LETTER HAH WITH HAMZA ABOVE
ڲ	2	ARABIC LETTER GAF WITH TWO DOTS BELOW
ۆ	2	ARABIC LETTER OE
ڵ	2	ARABIC LETTER LAM WITH SMALL V
؎	2	ARABIC POETIC VERSE SIGN
ڎ	2	ARABIC LETTER DUL
ݯ	2	ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
ۗ	2	ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
ۅ	2	ARABIC LETTER KIRGHIZ OE
ٮ	1	ARABIC LETTER DOTLESS BEH
ۮ	1	ARABIC LETTER DAL WITH INVERTED V
ۯ	1	ARABIC LETTER REH WITH INVERTED V
ۿ	1	ARABIC LETTER HEH WITH INVERTED V
ً	1	ARABIC FATHATAN
