Char	Frequency	Unicode Name
 	5052574	SPACE
ي	2500667	ARABIC LETTER YEH
ا	2076732	ARABIC LETTER ALEF
ن	1614279	ARABIC LETTER NOON
و	1458999	ARABIC LETTER WAW
ر	1128222	ARABIC LETTER REH
ه	768428	ARABIC LETTER HEH
م	748733	ARABIC LETTER MEEM
ج	693846	ARABIC LETTER JEEM
ل	676162	ARABIC LETTER LAM
س	601142	ARABIC LETTER SEEN
ڪ	572915	ARABIC LETTER SWASH KAF
ت	548620	ARABIC LETTER TEH
د	469422	ARABIC LETTER DAL
ب	383138	ARABIC LETTER BEH
پ	282545	ARABIC LETTER PEH
ئ	264990	ARABIC LETTER YEH WITH HAMZA ABOVE
آ	238342	ARABIC LETTER ALEF WITH MADDA ABOVE
ع	236884	ARABIC LETTER AIN
،	227318	ARABIC COMMA
ھ	215487	ARABIC LETTER HEH DOACHASHMEE
ک	196369	ARABIC LETTER KEHEH
ش	193596	ARABIC LETTER SHEEN

	189835	UNKNOWN
۾	186456	ARABIC SIGN SINDHI POSTPOSITION MEN
ٽ	180540	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
ق	172845	ARABIC LETTER QAF
گ	170490	ARABIC LETTER GAF
ڻ	160149	ARABIC LETTER RNOON
ف	159532	ARABIC LETTER FEH
ح	150982	ARABIC LETTER HAH
۽	140674	ARABIC SIGN SINDHI AMPERSAND
ز	135793	ARABIC LETTER ZAIN
ٿ	128899	ARABIC LETTER TEHEH
ء	118292	ARABIC LETTER HAMZA
ڏ	110350	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
خ	107393	ARABIC LETTER KHAH
چ	104479	ARABIC LETTER TCHEH
ص	99586	ARABIC LETTER SAD
ڊ	95429	ARABIC LETTER DAL WITH DOT BELOW
ڙ	84160	ARABIC LETTER REH WITH FOUR DOTS ABOVE
ڌ	76903	ARABIC LETTER DAHAL
َ	72479	ARABIC FATHA
ط	70852	ARABIC LETTER TAH
ٻ	60873	ARABIC LETTER BEEH
ڳ	58648	ARABIC LETTER GUEH
ِ	56779	ARABIC KASRA
ٺ	42432	ARABIC LETTER TTEHEH
ڀ	42220	ARABIC LETTER BEHEH
ض	36636	ARABIC LETTER DAD
ظ	33899	ARABIC LETTER ZAH
ُ	32713	ARABIC DAMMA
غ	30017	ARABIC LETTER GHAIN
ڇ	29722	ARABIC LETTER TCHEHEH
ہ	28468	ARABIC LETTER HEH GOAL
ذ	24703	ARABIC LETTER THAL
ث	24344	ARABIC LETTER THEH
ڄ	20412	ARABIC LETTER DYEH
ڃ	17275	ARABIC LETTER NYEH
ڍ	16826	ARABIC LETTER DDAHAL
؛	13561	ARABIC SEMICOLON
۔	9115	ARABIC FULL STOP
ـ	7560	ARABIC TATWEEL
ڦ	6750	ARABIC LETTER PEHEH
ٰ	5077	ARABIC LETTER SUPERSCRIPT ALEF
ڱ	4540	ARABIC LETTER NGOEH
ؤ	4284	ARABIC LETTER WAW WITH HAMZA ABOVE
ة	2298	ARABIC LETTER TEH MARBUTA
ں	1610	ARABIC LETTER NOON GHUNNA
؟	1425	ARABIC QUESTION MARK
ً	1176	ARABIC FATHATAN
ّ	1111	ARABIC SHADDA
ٹ	1077	ARABIC LETTER TTEH
ك	904	ARABIC LETTER KAF
أ	702	ARABIC LETTER ALEF WITH HAMZA ABOVE
ْ	564	ARABIC SUKUN
ڈ	529	ARABIC LETTER DDAL
ۡ	461	ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
ٌ	350	ARABIC DAMMATAN
إ	255	ARABIC LETTER ALEF WITH HAMZA BELOW
ڑ	237	ARABIC LETTER RREH
٪	213	ARABIC PERCENT SIGN
ژ	145	ARABIC LETTER JEH
٬	145	ARABIC THOUSANDS SEPARATOR
ۃ	139	ARABIC LETTER TEH MARBUTA GOAL
ۂ	83	ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
ٱ	53	ARABIC LETTER ALEF WASLA
ٔ	49	ARABIC HAMZA ABOVE
ٖ	48	ARABIC SUBSCRIPT ALEF
ؑ	42	ARABIC SIGN ALAYHE ASSALLAM
ٍ	41	ARABIC KASRATAN
ٗ	27	ARABIC INVERTED DAMMA
﴿	26	ORNATE RIGHT PARENTHESIS
﴾	26	ORNATE LEFT PARENTHESIS
ؕ	23	ARABIC SMALL HIGH TAH
ؒ	23	ARABIC SIGN RAHMATULLAH ALAYHE
ە	22	ARABIC LETTER AE
ۤ	21	ARABIC SMALL HIGH MADDA
٫	20	ARABIC DECIMAL SEPARATOR
ٴ	19	ARABIC LETTER HIGH HAMZA
ۚ	16	ARABIC SMALL HIGH JEEM
ۙ	13	ARABIC SMALL HIGH LAM ALEF
٭	12	ARABIC FIVE POINTED STAR
﷢	12	UNKNOWN
﷦	9	UNKNOWN
ٓ	8	ARABIC MADDAH ABOVE
ڕ	6	ARABIC LETTER REH WITH SMALL V BELOW
ټ	5	ARABIC LETTER TEH WITH RING
ښ	5	ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
﷥	5	UNKNOWN
ݣ	4	ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
ۢ	4	ARABIC SMALL HIGH MEEM ISOLATED FORM
ٚ	4	ARABIC VOWEL SIGN SMALL V ABOVE
ؓ	4	ARABIC SIGN RADI ALLAHOU ANHU
ډ	4	ARABIC LETTER DAL WITH RING
ړ	4	ARABIC LETTER REH WITH RING
ۜ	3	ARABIC SMALL HIGH SEEN
ݔ	3	ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE
ؐ	3	ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
څ	3	ARABIC LETTER HAH WITH THREE DOTS ABOVE
ګ	3	ARABIC LETTER KAF WITH RING
ۖ	3	ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA
ٕ	2	ARABIC HAMZA BELOW
۬	2	ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
ۏ	2	ARABIC LETTER WAW WITH DOT ABOVE
؁	2	ARABIC SIGN SANAH
ځ	2	ARABIC LETTER HAH WITH HAMZA ABOVE
ڲ	2	ARABIC LETTER GAF WITH TWO DOTS BELOW
ۆ	2	ARABIC LETTER OE
ڵ	2	ARABIC LETTER LAM WITH SMALL V
؎	2	ARABIC POETIC VERSE SIGN
ڎ	2	ARABIC LETTER DUL
ݯ	2	ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
ۗ	2	ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
ۅ	2	ARABIC LETTER KIRGHIZ OE
ٮ	1	ARABIC LETTER DOTLESS BEH
ۮ	1	ARABIC LETTER DAL WITH INVERTED V
ۯ	1	ARABIC LETTER REH WITH INVERTED V
ۿ	1	ARABIC LETTER HEH WITH INVERTED V
ݨ	1	ARABIC LETTER NOON WITH SMALL TAH
۠	1	ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO
۫	1	ARABIC EMPTY CENTRE HIGH STOP
ږ	1	ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE
؋	1	AFGHANI SIGN
ۄ	1	ARABIC LETTER WAW WITH RING
ۉ	1	ARABIC LETTER KIRGHIZ YU
ۇ	1	ARABIC LETTER U
ڭ	1	ARABIC LETTER NG
ٳ	1	ARABIC LETTER ALEF WITH WAVY HAMZA BELOW
ٟ	1	ARABIC WAVY HAMZA BELOW
ٜ	1	ARABIC VOWEL SIGN DOT BELOW
